firstAffiliation,nation,city_state,cleaned_city_state
"quantitative sciences unit, department of medicine, stanford university, stanford, california.",usa," stanford, ca","stanford, ca"
"department of cardiac surgery, heart and lung center, university of helsinki, helsinki, finland.",finland,,
"division of general medicine and clinical epidemiology, department of medicine, university of north carolina at chapel hill.",usa," chapel hill,nc

Or simply:","chapel hill,nc"
"neurology and stroke center, versailles mignot hospital, paris, france.",france,,
"caucaseco scientific research center, malaria vaccine and drug development center, cali, colombia.",colombia,,
"nhs blood and transplant, london, england.",uk (united kingdom),,
"health experts committee, valle del cauca, colombia.",colombia,,
"center for health and wellbeing, princeton university, princeton, new jersey.",usa," Princeton, New Jersey.

Here are","Princeton, New Jersey."
"nhs blood and transplant, bristol, england.",uk (united kingdom),,
"landseed international hospital, taoyuan, taiwan.",taiwan,,
"irccs istituto giannina gaslini, genova, italy.",italy,,
"sorbonne université, hôpital armand trousseau, ap-hp, paris, france.",france,,
"lin-shin hospital, taichung, taiwan.",taiwan,,
"nhs blood and transplant, barnsley, england.",uk (united kingdom),,
"universitätsklinikum freiburg, freiburg, germany.",germany,,
"chung shan medical university hospital, taichung, taiwan.",taiwan,,
"division of infectious diseases, perelman school of medicine at the university of pennsylvania, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"school of medicine and pharmacology, university of western australia, crawley.",australia,,
"medizinische hochschule hannover, hannover, germany.",germany,,
"azienda ospedaliera di rilievo nazionale santobono pausilipon, naples, italy.",italy,,
"universitätsklinikum frankfurt am main, frankfurt, germany.",germany,,
"university of milano-bicocca, mbbm foundation, monza, italy.",italia (or italy),,
"department of healthcare quality assessment, graduate school of medicine, university of tokyo, tokyo, japan.",japan,,
"nhsbt clinical trials unit, bristol, england.",uk (united kingdom),,
"centro médico santuario, cali, colombia.",colombia,,
"state health department, valle del cauca, colombia.",colombia,,
"division of general internal medicine, department of medicine, university of iowa carver college of medicine, iowa city.",usa," iowa city, ia","iowa city, ia"
"department of kinesiology and nutrition, university of illinois at chicago.",usa," Chicago, IL","Chicago, IL"
"intensive care and pain medicine, department of anesthesiology, university of helsinki, helsinki, finland.",finland,,
"school of law and school of medicine, case western reserve university, cleveland, ohio.",usa," cleveland, ohio.","cleveland, ohio."
"applied health research centre, st michael's hospital, toronto, ontario, canada.",canada,,
"department of family & community medicine, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"division of critical care medicine, st joseph's hospital, hamilton, ontario, canada.",canada,,
"division of critical care medicine, department of medicine, unity health toronto, st michael's hospital, toronto, ontario, canada.",canada,,
"internal medicine department and obesity clinic, hasharon hospital-rabin medical center, petach-tikva, sackler faculty of medicine, tel aviv university, tel aviv, israel.",israel,,
"department of endocrinology and metabolic diseases, kantonsspital olten, olten, switzerland.",switzerland,,
"the university of western australia, perth, australia.",australia,,
"department of psychiatry and behavioral sciences, boston children's hospital, boston, massachusetts.",usa," response: boston, ma

Explan","boston, ma"
"diabetes unit, department of endocrinology and metabolism, hadassah medical center, faculty of medicine, hebrew university of jerusalem, jerusalem, israel.",israel,,
"stanford, california.",usa," stanford, ca","stanford, ca"
"department of biostatistics and bioinformatics, moffitt cancer center and research institute, tampa, florida.",usa," response: tampa, florida.","tampa, florida."
"department of health outcomes and behavior, moffitt cancer center and research institute, tampa, florida.",usa," response: tampa, florida.","tampa, florida."
"department of gastrointestinal oncology, moffitt cancer center and research institute, tampa, florida.",usa," response: tampa, florida.","tampa, florida."
"endocrinology unit, department of medical sciences, uppsala university, uppsala, sweden.",sweden,,
"washington center for weight management, arlington, virginia.",usa," response: arlington, va","arlington, va"
"university of vermont larner college of medicine, burlington.",usa," response: burlington,vt.

Ex","burlington,vt."
"national center for health statistics, mortality statistics branch, division of vital statistics, hyattsville, maryland.",usa," response: hyattsville, maryland.","hyattsville, maryland."
"kcas bioanalytical services. shawnee, kansas.",usa," Shawnee, Kansas.","Shawnee, Kansas."
"centre for health evaluation and outcome sciences, division of critical care medicine, st paul's hospital, university of british columbia, vancouver, british columbia, canada.",canada,,
"department of family and community medicine, college of medicine, the ohio state university, columbus.",usa," columbus, ohio

So the","columbus, ohio"
"faculty of medicine, department of clinical sciences, respiratory medicine, allergology, and palliative medicine, lund university, lund, sweden.",sweden,,
"department of intensive care, hinduja national hospital, bombay, india.",india,,
"institute of sport science, university of bern, bern, switzerland.",switzerland,,
"mccloud consulting group, belrose, australia.",australia,,
"wolfson palliative care research centre, hull york medical school, university of hull, hull, england.",uk (united kingdom),,
"adelaide institute for sleep health, flinders university, adelaide, australia.",australia,,
"palliative care network, northern sydney local health district, sydney, australia.",australia,,
"center on aging and mobility, university hospital zurich, zurich, switzerland.",switzerland,,
"department of medical microbiology, university of amsterdam medical center, university of amsterdam, the netherlands.",netherlands,,
"division of hematology, massachusetts general hospital, boston.",usa," response: boston, ma","boston, ma"
"healthpartners, minneapolis, minnesota.",usa," minneapolis, minnesota.","minneapolis, minnesota."
"division of nephrology and transplantation, department of internal medicine, erasmus medical center, university medical center rotterdam, rotterdam, the netherlands.",netherlands,,
"division of nephrology, department of medicine, beth israel deaconess medical center, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"department of otolaryngology-head and neck surgery, university of north carolina at chapel hill.",usa," chapel hill,nc

So the function","chapel hill,nc"
"center for rural health research, department of health services management and policy, college of public health, east tennessee state university, johnson city.",usa," response: johnson city, tn
","johnson city, tn"
"department of anesthesia and perioperative medicine, university of western ontario, london, canada.",canada,,
"departments of medicine and health research methods, evidence and impact, mcmaster university, hamilton, ontario, canada.",canada,,
"department of otolaryngology-head and neck surgery, university of michigan medical school, ann arbor.",usa," ann arbor, mi","ann arbor, mi"
"northshore university health system, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"anaesthesia, critical care and pain medicine, edinburgh royal infirmary, edinburgh, scotland, united kingdom.",united kingdom,,
"intensive care unit, royal prince alfred hospital, , university of sydney, camperdown, new south wales, australia.",australia,,
"university of pittsburgh school of pharmacy, pittsburgh, pennsylvania.",usa," Pittsburgh, Pennsylvania.","Pittsburgh, Pennsylvania."
"university of maryland school of law, baltimore.",usa," response: baltimore, md.

","baltimore, md."
"university of brest, inserm, umr 1078, ggb, chu brest, brest, france.",france,,
"division of surgery, fiona stanley hospital, murdoch, australia.",australia,,
"department of oncology, national taiwan university hospital & college of medicine, taipei, china.",taiwan (or) unknown if,,
"division of gastroenterology and hepatology, renji hospital, shanghai jiaotong university school of medicine, shanghai, china.",china,,
"department of gastroenterology, bethune first affiliated hospital of jilin university, changchun, china.",china,,
"berkeley institute for data science, university of california, berkeley, san francisco.",usa," response: berkeley, ca

Explan","berkeley, ca"
"department of medicine i, university hospital schleswig holstein, kiel university, kiel, germany.",germany,,
"department of biostatistics and quantitative health sciences, mayo clinic, jacksonville, florida.",usa," jacksonville, florida.","jacksonville, florida."
"thurston arthritis research center, division of rheumatology, allergy, and immunology, university of north carolina at chapel hill.",usa," chapel hill, nc","chapel hill, nc"
"medicine and infectious diseases, georgetown university, washington, dc.",usa," washington, dc

So the function should","washington, dc"
"division of surgery, university of western australia, crawley, australia.",australia,,
"center for personalized health care, duke university, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"amgen ltd, uxbridge, united kingdom.","uk

affiliation: ""n",,
"professional satisfaction, american medical association, chicago, illinois.",usa," Chicago, illinois.","Chicago, illinois."
"department of medicine, stanford school of medicine, stanford, california.",usa," stanford, ca","stanford, ca"
"department of internal medicine, texas tech university health sciences center, el paso.",usa," el paso, tx","el paso, tx"
"department of internal medicine, banner-university medical center phoenix, phoenix, arizona.",usa," response: phoenix, arizona.","phoenix, arizona."
"division of vascular surgery, instituto nacional de ciencias médicas y nutrición salvador zubirán, méxico city, méxico.",mexico,,
"division of cardiovascular diseases, texas tech university health sciences center, el paso.",usa," el paso, tx","el paso, tx"
"college of medicine, university of arizona, phoenix.",usa," response: phoenix, az","phoenix, az"
"division of allergy, immunology and rheumatology, department of pediatrics, school of medicine and public health, university of wisconsin, madison.",usa," madison, wi","madison, wi"
"division of allergy pulmonary and critical care medicine, department of medicine, school of medicine and public health, university of wisconsin, madison.",usa," madison, wi","madison, wi"
"department of gastroenterology, ruijin hospital, shanghai jiaotong university school of medicine, shanghai, china.",china,,
"department of gastroenterology, sir run run shaw hospital, zhejiang university, hangzhou, china.",china,,
"department of gastroenterology, shengjing hospital of china medical university, shenyang, china.",china,,
"department of gastroenterology, affiliated zhongda hospital, school of medicine southeast university, nanjing, china.",china,,
"division of nephrology, tufts university medical center, boston, massachusetts.",usa," response: boston, ma","boston, ma"
"department of neurosurgery, university of north carolina school of medicine, chapel hill.",usa," chapel hill,nc

So the function","chapel hill,nc"
"vitalink research, union, south carolina.",usa," response: union, south carolina.","union, south carolina."
"hilabs, bethesda, maryland.",usa," bethesda, maryland.","bethesda, maryland."
"department of medicine, women's guild lung institute, cedars-sinai medical center, los angeles, california.",usa," los angeles, ca","los angeles, ca"
"mid and south essex university hospitals nhs trust, basildon, england.",uk (united kingdom),,
"amsterdam university medical centre, amsterdam, the netherlands.",netherlands,,
"department of neuromedicine, norwegian university of science and technology, trondheim, norway.",norway,,
"baylor university medical center and baylor scott and white research institute, dallas, texas.",usa," response: dallas, texas.","dallas, texas."
zuckerberg san francisco general hospital and university of california-san francisco.,usa," response: san francisco, ca","san francisco, ca"
"va medical center, mather, california.",usa," response: mather, ca","mather, ca"
"harvard business school and john f. kennedy school of government, harvard university, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"center for bioethics and humanities, upstate medical university, syracuse, new york.",usa," Syracuse, New York.","Syracuse, New York."
"department of gastroenterology and hepatology, general hospital, tianjin medical university, tianjin, china.",china,,
"neurocritical care, university of chicago medical center, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"department of neurology, boston university, boston, massachusetts.",usa," response: boston, massachusetts.","boston, massachusetts."
"department of neurology, nyu langone medical center, new york, new york.",usa," new york, new york.","new york, new york."
"department of neurology, university of southern california, los angeles.",usa," Response: los angeles, ca

Ex","los angeles, ca"
"usc schaeffer center, los angeles, california.",usa," Response: los angeles, california.
","los angeles, california."
"clinical pathology division, hospital das clinicas hcfmusp, faculdade de medicina da universidade de sao paulo, sao paulo, brazil.",brazil,,
"center for health equity research and promotion, corporal michael j. crescenz veterans affairs medical center, philadelphia, pennsylvania.",usa," response: philadelphia, pennsylvania.","philadelphia, pennsylvania."
"basic health international, new york, new york.",usa," new york, new york.","new york, new york."
"department of gastroenterology and hepatology, university center for gastrointestinal and liver diseases, basel, switzerland.",switzerland,,
"department of emergency and critical care medicine, st marianna university school of medicine, yokohama city seibu hospital, yokohama, japan.",japan,,
"héma-québec, montreal, quebec, canada.",canada,,
"the university of manchester, manchester, united kingdom.",united kingdom.,,
"dr kao clinic, taichung, taiwan.",taiwan,,
"centre for pain impact, neuroscience research australia, sydney, new south wales, australia.",australia,,
"faculty of medicine, nursing and midwifery and health sciences, the university of notre dame australia, fremantle, western australia, australia.",australia,,
"department of health sciences, university of new south wales, sydney, australia.",australia,,
"hospital medicine service, memorial sloan kettering cancer center, new york, new york.",usa," new york, new york.","new york, new york."
"northwestern university center for arrhythmia research and feinberg school of medicine, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"peter doherty institute for infection and immunity, university of melbourne, melbourne, australia.",australia,,
"scottish national blood transfusion service, edinburgh, scotland.",uk (united kingdom),,
"st anna children's hospital, vienna, austria.",austria,,
"college of medicine, chang gung university, taoyuan, taiwan.",taiwan,,
"department of orthopedics, the fifth affiliated hospital of sun yat-sen university, guangdong, china.",china,,
"chung shan medical university hospital, china medical university, taichung, taiwan.",taiwan,,
"bond university, robina, australia.",australia,,
"charles university, motol university hospital, prague, czech republic.",czech republic,,
"westmead hospital, sydney, new south wales, australia.",australia,,
"universitätsklinikum schleswig-holstein, kiel, germany.",germany,,
"department of pathology, school of medicine, university of pittsburgh, pittsburgh, pennsylvania.",usa," response: pittsburgh, pa.

","pittsburgh, pa."
"school of post-baccalaureate chinese medicine, china medical university, taichung, taiwan.",taiwan,,
"basic health international, san salvador, el salvador.",el salvador,,
"clinic of endocrinology, diabetes and metabolism, university hospital basel, basel, switzerland.",switzerland,,
"private psychiatric practice, chicago, illinois.",usa," Chicago, il

Affiliation: ""Dep","Chicago, il"
"basic health international, pittsburgh, pennsylvania.",usa," Pittsburgh, Pennsylvania.","Pittsburgh, Pennsylvania."
"health and medicine division, national academies of sciences, engineering, and medicine, washington, dc.",usa," response: washington, dc.","washington, dc."
"public health sciences and clinical research divisions, fred hutchinson cancer research center, seattle, washington.",usa," response: seattle, washington.","seattle, washington."
"department of biochemistry, vall d'hebron barcelona hospital campus, barcelona, spain.",spain,,
"department of biomedical informatics, vagelos college of physicians and surgeons, columbia university in the city of new york.",usa," new york, ny","new york, ny"
"department of biochemistry, hospital universitari de girona doctor josep trueta, girona, spain.",spain,,
"division of gastroenterology, department of medicine, university of california, san diego.",usa," response: san diego, ca","san diego, ca"
"division of infectious diseases and hospital hygiene and infection biology laboratory, university hospital basel, university of basel, basel, switzerland.",switzerland,,
"jockey club school of public health and primary care, the chinese university of hong kong, hong kong.",hong kong (or china),,
"division of infectious diseases, samsung medical center, seoul, south korea.",south korea,,
"big data department, national health insurance service, wonju, south korea.",south korea,,
"artificial intelligence and big-data convergence center, gachon university college of medicine, incheon, south korea.",south korea,,
"beth israel deaconess medical center, department of obstetrics and gynecology, harvard medical school, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"milken institute school of public health, department of global health, george washington university, washington, dc.",usa," washington, dc","washington, dc"
"north potomac, maryland.",usa," north potomac, maryland.","north potomac, maryland."
"longwood pediatrics, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"department of medicine, critical care and hematology/medical oncology, university of manitoba, winnipeg, canada.",canada,,
"university division of anesthesia, addenbrooke's hospital cambridge, cambridge, england.",united kingdom,,
"spaulding clinical research. west bend, wisconsin.",usa," Response: west bend, wisconsin.
","west bend, wisconsin."
"division of palliative medicine, department of medicine, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"section of otolaryngology-head and neck surgery, university of chicago, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"department of library-public services, mayo clinic, rochester, minnesota.",usa," response: rochester, mn","rochester, mn"
"seattle children's research institute, center for child health, behavior, and development, seattle, washington.",usa," response: seattle, washington.","seattle, washington."
"department of neurology, taian county chinese medicine hospital, anshan, china.",china,,
"executive editor and interim editor in chief, jama and the jama network.",usa, response: unknown (JAMA is a journal,unknown
"hospice calando, dirksland, the netherlands.",netherlands,,
"department of neurology, anshan hospital, the first affiliated hospital of china medical university, anshan, china.",china,,
"department of neurology, liaoyang county central hospital, liaoyang, china.",china,,
"department of neurology, xiuyan county central hospital, anshan, china.",china,,
"center for vulnerable populations, division of general internal medicine, zuckerberg san francisco general hospital, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"department of transplant hepatology, baylor scott & white all saints medical center, fort worth, texas.",usa," response: fort worth, texas.","fort worth, texas."
"hospice kuria, amsterdam, the netherlands.",netherlands,,
"section of hematology and oncology, department of medicine, university of chicago, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"department of surgery, university of michigan.",usa," response: ann arbor, mi

Ex","ann arbor, mi"
"department of surgery, loyola university medical center, maywood, illinois.",usa," maywood, illinois.","maywood, illinois."
"department of neurology, changtu county central hospital, tieling, china.",china,,
"department of neurology, dengta central hospital, dengta, china.",china,,
"department of neurology, liaoyang petrochemical general hospital, liaoyang, china.",china,,
"university of kansas school of medicine, va medical center, kansas city, kansas.",usa," kansas city, kansas.","kansas city, kansas."
"jaeb center for health research foundation inc, tampa, florida.",usa," response: tampa, florida.","tampa, florida."
"institute of continuing medical education of ioannina, ioannina, greece.",greece,,
"division of neurology, university of british columbia, vancouver stroke program, vancouver, british columbia, canada.",canada,,
"department of neurology, sujiatun stroke hospital, shenyang, china.",china,,
"department of neurology, fushun central hospital, fushun, china.",china,,
"department of neurology, panjin people's hospital, panjin, china.",china,,
"department of neurology, huanren manchu autonomous county people's hospital, benxi, china.",china,,
"university of cincinnati academic health center, cincinnati, ohio.",usa," Cincinnati, ohio.","Cincinnati, ohio."
"division of infectious diseases, university of colorado school of medicine, aurora.",usa," aurora, co

So the function would","aurora, co"
"brengle family medicine, indianapolis, indiana.",usa," response: indianapolis, in.

","indianapolis, in."
"indiana university school of medicine, gary.",usa," gary, in

Here are some more","gary, in"
"department of neurology, beipiao central hospital, beipiao, china.",china,,
"department of neurology, haicheng chinese medicine hospital, haicheng, china.",china,,
"department of neurology, china railway 19th bureau group central hospital, liaoyang, china.",china,,
"division of critical care medicine, department of anesthesiology and critical care medicine, université laval, quebec city, quebec, canada.",canada,,
"department of neurology, fuxin second people's hospital, fuxin, china.",china,,
"department of neurology, dandong people's hospital, dandong, china.",china,,
"department of neurology, chaoyang central hospital, chaoyang, china.",china,,
"new york university langone vaccine center, division of infectious diseases and immunology, new york university grossman school of medicine, new york, new york.",usa," new york, new york.","new york, new york."
"vice dean, diversity and inclusion, department of medicine, northwestern university feinberg school of medicine, chicago, illinois.",usa," Chicago, Illinois.","Chicago, Illinois."
"department of neurology, chinese people's liberation army 230 hospital, dandong, china.",china,,
"department of neurology, weill institute for neurosciences, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"department of neurology, suizhong county hospital, huludao, china.",china,,
"department of family and preventive medicine, college of medicine, university of arkansas for medical sciences northwest, fayetteville.",usa," Fayetteville, ar

So the","Fayetteville, ar"
"department of neurology, liaoyang county stroke hospital, liaoyang, china.",china,,
"palliative care unit ""de regenboog,"" rotterdam, the netherlands.",netherlands,,
"division of pediatric nephrology, department of pediatrics, children's mercy kansas city, kansas city, missouri.",usa," Kansas City, Missouri.","Kansas City, Missouri."
"division of pediatric nephrology, children's national health system, the george washington university school of medicine and health sciences, washington, dc.",usa," washington, dc","washington, dc"
"division of nephrology, department of medicine and pediatrics, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"department of neurology, albert schweitzer hospital, dordrecht, the netherlands.",netherlands,,
"bioxcel therapeutics inc, new haven, connecticut.",usa," new haven, connecticut.","new haven, connecticut."
"segal trials, fort lauderdale, florida.",usa," fort lauderdale, florida.","fort lauderdale, florida."
"departments of radiation oncology and psychosocial oncology and palliative care, brigham and women's hospital, dana-farber cancer institute, boston, massachusetts.",usa," response: boston, ma.

Ex","boston, ma."
"university of toronto, department of medicine, toronto, ontario, canada.",canada,,
"department of neurosurgery, erasmus medical center, rotterdam, the netherlands.",netherlands,,
"division of nursing research and education, department of population sciences, city of hope, duarte, california.",usa," response: duarte, ca","duarte, ca"
"department of radiology and nuclear medicine, erasmus medical center, rotterdam, the netherlands.",netherlands,,
"department of religion, health, and human values, rush university medical center, chicago, illinois.",usa," Chicago, illinois.","Chicago, illinois."
"departments of psychiatry and behavioral sciences and medicine, duke university medical center, duke university, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"the george washington institute for spirituality and health, departments of medicine and health care sciences, george washington university, washington, dc.",usa," washington, dc","washington, dc"
"division of palliative medicine, department of medicine, duke university medical center, duke university, durham, north carolina.",usa," durham, north carolina.","durham, north carolina."
"department of radiation oncology, thomas jefferson university, philadelphia, pennsylvania.",usa," response: philadelphia, pa","philadelphia, pa"
"kennedy institute of ethics, departments of medicine and philosophy and the pellegrino center for clinical bioethics, georgetown university, washington, dc.",usa," washington, dc","washington, dc"
"birnbaum women's leadership network, new york university, new york city.",usa," new york city, ny","new york city, ny"
"department of medical psychology, amsterdam university medical centers, amsterdam, the netherlands.",netherlands,,
"vanderbilt university medical center, department of psychiatry, nashville, tennessee.",usa," nashville, tennessee.","nashville, tennessee."
"department of economics, university of california, los angeles.",usa," Response: Los Angeles, CA.

Ex","Los Angeles, CA."
"university of sousse, sousse, tunisia.",tunisia,,
"oxford trauma and emergency care, nuffield department of rheumatology, musculoskeletal and orthopaedic sciences, university of oxford, oxford, united kingdom.",united kingdom,,
kansas university school of medicine-wichita.,usa," wichita, ks","wichita, ks"
"experimental haemostasis group, department for biomedical research dbmr, university of bern, bern, switzerland.",switzerland,,
"center for innovations in quality, effectiveness, and safety, michael e. debakey va medical center, houston, texas.",usa," Houston, texas.","Houston, texas."
"veterans affairs health services research and development center for innovation to implementation, palo alto veterans affairs health care system, palo alto, california.",usa," response: palo alto, ca","palo alto, ca"
"surgical and perioperative care, atlanta va health care system, decatur, georgia.",usa," decatur, georgia.","decatur, georgia."
"hospice and palliative care program, department of medicine, university of north carolina school of medicine at chapel hill.",usa," chapel hill,nc

Or, if","chapel hill,nc"
"division of general medicine and clinical epidemiology, department of medicine, university of north carolina school of medicine at chapel hill.",usa," chapel hill,nc

Or simply:","chapel hill,nc"
"the first people's hospital of chenzhou, university of south china, chenzhou, china.",china,,
"department of population, family, and reproductive health, johns hopkins bloomberg school of public health, baltimore, maryland.",usa," response: baltimore, maryland.","baltimore, maryland."
"department of obstetrics and gynecology, stanford school of medicine, stanford, california.",usa," response: stanford, ca","stanford, ca"
"school of clinical sciences, monash university, melbourne, victoria, australia.",australia,,
"neurosciences department, hospital dr r.a. calderón guardia, ccss, san josé, costa rica.",costa rica,,
"department of cardiology, university medical center groningen, groningen, the netherlands.",netherlands,,
"paris university, umr-s 942, department of cardiology, lariboisiere hospital, assistance publique hopitaux de paris, paris, france.",france,,
"cardiology, asst spedali civili, department of medical and surgical specialties, radiological sciences, and public health, university of brescia, brescia, italy.",italia (or italy),,
"department of medicine, sidney kimmel medical college, thomas jefferson university hospital, philadelphia, pennsylvania.",usa," response: philadelphia, pennsylvania.","philadelphia, pennsylvania."
"department of internal medicine, saarland university, homburg, saarland, germany.",germany,,
"section of cardiology, san francisco veterans affairs medical center and university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"bhf cardiovascular research centre, institute of cardiovascular and medical sciences, university of glasgow, glasgow, scotland.",uk (united kingdom),,
"national institute of neurology and neurosurgery manuel velasco suarez, mexico-city, mexico.",mexico,,
"sina hospital, hamadan university of medical science, hamadan, iran.",iran,,
"humana healthcare research inc, louisville, kentucky.",usa," louisville, kentucky.","louisville, kentucky."
"kaiser permanente colorado institute for health research, aurora.",usa," aurora, co

So the function should","aurora, co"
"florida primary and specialty care, boca raton.",usa," response: boca raton, fl

","boca raton, fl"
"chu de rennes, hôpital pontchaillou, service des maladies infectieuses et réanimation médicale, rennes, france.",france,,
"ch de cholet, service de réanimation polyvalente, cholet, france.",france,,
"chu de caen, médecine intensive réanimation, caen, france.",france,,
"ghr mulhouse sud-alsace, médecine intensive réanimation, mulhouse, france.",france,,
"groupe hospitalier sud de la réunion, médecine intensive réanimation, saint pierre, france.",france,,
"feinstein institutes for medical research, northwell health, new hyde park, new york.",usa," new hyde park, new york.","new hyde park, new york."
"national academy for state health policy, portland, maine.",usa," response: portland, me

Explan","portland, me"
"department of pediatrics, cincinnati children's hospital medical center, university of cincinnati college of medicine, cincinnati, ohio.",usa," Cincinnati, ohio.","Cincinnati, ohio."
"ch de bourg-en-bresse, service de réanimation, bourg-en-bresse, france.",france,,
"ch de dieppe, médecine intensive réanimation, dieppe, france.",france,,
"bristol medical school, faculty of health sciences, university of bristol, bristol, united kingdom.",uk (united kingdom),,
"groupement hospitalier nord-dauphiné, service de réanimation, bourgoin-jallieu, france.",france,,
"chu grenoble alpes, médecine intensive réanimation, grenoble, france.",france,,
"center for clinical studies and center for sepsis control and care, department of anesthesiology and intensive care medicine, jena university hospital, jena, germany.",germany,,
"chu la croix rousse, hospices civils de lyon, médecine intensive réanimation, lyon, france.",france,,
"ap-hp, chu henri mondor, médecine intensive réanimation, créteil, france.",france,,
"ch de pau, réanimation polyvalente, pau, france.",france,,
"ch henri mondor d'aurillac, service de réanimation, aurillac, france.",france,,
"hôpitaux universitaires de strasbourg, nouvel hôpital civil, médecine intensive-réanimation, strasbourg, france.",france,,
"chru tours, médecine intensive réanimation, tours, france.",france,,
"chu de nantes, médecine intensive réanimation, nantes, france.",france,,
"ch du mans, réanimation médico-chirurgicale, le mans, france.",france,,
"lam family college of business, san francisco state university, san francisco, california.",usa," response: san francisco, ca","san francisco, ca"
"colorado prevention center, aurora.",usa," aurora, co

So the function would","aurora, co"
"school of science, psychology, and sport, federation university australia, mt helen, victoria, australia.",australia,,
"department of breast surgery, jyoban hospital of tokiwa foundation, fukushima, japan.",japan,,
"department of pharmacy, sendai city medical center, sendai, miyagi, japan.",japan,,
"department of oncology, university of oxford, oxford, united kingdom.",united kingdom,,
"division of cardiology, university of colorado, aurora.",usa," aurora, co

So the function would","aurora, co"
"oxford university hospitals trust, oxford, united kingdom.",united kingdom.,,
"radcliffe department of medicine, university of oxford, oxford, united kingdom.",united kingdom.,,
"school of medicine, university of virginia, charlottesville.",usa," Charlottesville, va","Charlottesville, va"
"the national academies of sciences, engineering, and medicine, washington, dc.",usa," response: washington, dc.","washington, dc."
"gillings school of global public health and eshelman school of pharmacy, university of north carolina at chapel hill.",usa," chapel hill,nc

Or simply:","chapel hill,nc"
"now with discoveric bio beta ltd, pfäffikon sz, switzerland.",switzerland.,,
"now with spexis ltd, ch-4123 allschwil, switzerland.",switzerland.,,
